id,faction,deck_size,inf,octgn_id,source
Cerebral Imaging,Haas-Bioroid,45,15,Haas-Bioroid | Infinite Frontiers,Stephan Koenig
Chronos Protocol (HB),Haas-Bioroid,45,15,Haas-Bioroid | Selective Mind Mapping,Stephan Koenig
Custom Biotics,Haas-Bioroid,45,22,Haas-Bioroid | Engineered for Success,Stephan Koenig
Engineering the Future,Haas-Bioroid,45,15,Haas-Bioroid | Engineering the Future,Stephan Koenig
The Foundry,Haas-Bioroid,45,15,Haas-Bioroid | Refining the Process,Stephan Koenig
Next Design,Haas-Bioroid,45,12,Haas-Bioroid | Guarding the Net,Stephan Koenig
Stronger Together,Haas-Bioroid,45,15,Haas-Bioroid | Stronger Together,Stephan Koenig
Chronos Protocol,Jinteki,45,15,Jinteki | Selective Mind Mapping,Stephan Koenig
Harmony Medtech,Jinteki,40,12,Jinteki | Biomedical Pioneer,Stephan Koenig
Nisei Division,Jinteki,45,15,Jinteki | The Next Generation,Stephan Koenig
Personal Evolution,Jinteki,45,15,Jinteki | Personal Evolution,Stephan Koenig
Replicating Perfection,Jinteki,45,15,Jinteki | Replicating Perfection,Stephan Koenig
Tennin Institute,Jinteki,45,15,Jinteki | The Secrets Within,Stephan Koenig
Making News,NBN,45,15,NBN | Making News,Stephan Koenig
Near Earth Hub,NBN,45,17,NBN | Broadcast Center,Stephan Koenig
The World Is Yours,NBN,40,12,NBN | The World Is Yours,Stephan Koenig
Because We Built It,Weyland Consortium,45,15,Weyland Consortium | Because We Built It,Stephan Koenig
Blue Sun,Weyland Consortium,45,15,Weyland Consortium | Powering the Future,Stephan Koenig
Building a Better World,Weyland Consortium,45,15,Weyland Consortium | Building a Better World,Stephan Koenig
GRNDL,Weyland Consortium,45,10,Weyland Consortium | Power Unleashed,Stephan Koenig
